"","logFC.x","AveExpr.x","t.x","P.Value.x","adj.P.Val.x","B.x","Antigen","logFC.y","AveExpr.y","t.y","P.Value.y","adj.P.Val.y","B.y","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"PM_Scl-100",6.29299651375056,10.7640577035761,9.24499119293203,5.51847876229685e-06,0.00040284894964767,4.59642070675201,"PM_Scl-100",4.91729046376602,10.7640577035761,7.22395236216516,4.21486337330913e-05,0.00153842513125783,2.550735851152,-3.57015683422717,10.7640577035761,-3.7086966119336,0.00460113746917699,0.125479026229713,-2.01515124970786
"LC1",4.45039041248434,10.4279487757994,7.09385023611974,4.87291831359609e-05,0.00177861518446257,2.40273575864433,"LC1",4.60628088187317,10.4279487757994,7.34233711942341,3.69969147840158e-05,0.00153842513125783,2.68354499332222,0.5,0.5,0.5,0.5,0.5,0.5
"PL-7",6.91024614126028,10.9557480990227,4.68448881293649,0.00105308990463548,0.01931977998643,-0.762747150955589,"PL-7",3.81763520436248,10.9557480990227,2.58799311068345,0.0286127619956403,0.103554707274188,-4.12003716939834,0.5,0.5,0.5,0.5,0.5,0.5
"KU (P70_P80)",2.87788697525256,10.3655717358357,4.59195624280316,0.00120416878836653,0.01931977998643,-0.901190933430189,"KU (P70_P80)",2.86944871280702,10.3655717358357,4.5784921518752,0.00122801560638757,0.0179290278532586,-0.921437427598712,0.5,0.5,0.5,0.5,0.5,0.5
"La_SSB",4.55806699509704,10.7404080766177,4.02011127833948,0.00283333562698611,0.034472250128331,-1.78289911562528,"La_SSB",3.3079495408668,10.7404080766177,2.91753615550651,0.0165635326923754,0.0835666770917202,-3.57757927649661,0.5,0.5,0.5,0.5,0.5,0.5
"MBP",-0.723745856627382,10.1315546287337,-3.62103371086355,0.00528572555652976,0.0351323772795495,-2.42184852302249,"MBP",-0.631446222442385,10.1315546287337,-3.1592416552355,0.0111313957179477,0.0677159906175152,-3.17824475647325,0.5,0.5,0.5,0.5,0.5,0.5
"Collagen IV",-1.3312238044857,10.4471856718671,-3.52842958847917,0.00612591830153903,0.0372660030010291,-2.5723535093914,"Collagen IV",-1.28918263322289,10.4471856718671,-3.41699880417515,0.00732523951340808,0.0594158316087544,-2.75435781876082,0.5,0.5,0.5,0.5,0.5,0.5
"Aggrecan",-0.737839529046822,10.124054400088,-3.29647893815644,0.00890119287501009,0.0499836215289028,-2.95213920089869,"Aggrecan",-0.719770440555934,10.124054400088,-3.21575085664684,0.0101502744191353,0.0677159906175152,-3.08505024427036,0.5,0.5,0.5,0.5,0.5,0.5
"Histone H3",-0.729292359393853,10.1090350494758,-3.23063398084067,0.00990704492350613,0.0504772336286682,-3.06052493531168,"Histone H3",-0.685709770304218,10.1090350494758,-3.0375709499829,0.0135897671696094,0.0763117694908834,-3.37919444106386,0.5,0.5,0.5,0.5,0.5,0.5
"SRP54",-0.576410473211752,10.1985374138286,-3.17127592580886,0.0109145511733904,0.0504772336286682,-3.15838878183358,"SRP54",-0.69790517711543,10.1985374138286,-3.83971143749581,0.00374636325814932,0.0390692168349858,-2.06961995692743,0.934781053667361,10.1985374138286,3.63661286756748,0.00515667231081011,0.125479026229713,-2.12879438999215
"PCNA",2.46994916363559,10.3868006823711,3.1629833034672,0.011063503261078,0.0504772336286682,-3.1720707274279,"PCNA",4.16943253410213,10.3868006823711,5.33931859183951,0.000422476563336293,0.0102802630411831,0.181121231039673,0.5,0.5,0.5,0.5,0.5,0.5
"Collagen III",-0.742036127532254,10.107778270801,-3.00552320647705,0.0143257601961496,0.058098916351051,-3.43216066240927,"Collagen III",-0.652965311741712,10.107778270801,-2.64475316584761,0.0260364379920099,0.103554707274188,-4.02706696340203,0.5,0.5,0.5,0.5,0.5,0.5
"Vimentin",-0.717535530211027,10.121016539486,-2.8989134791662,0.017081257399555,0.0652388706070051,-3.60834844338157,"Vimentin",-0.663268408767971,10.121016539486,-2.6796690192012,0.024568750362283,0.103554707274188,-3.96974936633368,0.5,0.5,0.5,0.5,0.5,0.5
